

symbol,date,o,h,l,c
pcrw,20190719,3.64,3.64,3.64,3.64
pcrw,20190722,1.58,1.58,1.58,1.58
pcrw,20190723,1.58,1.58,1.58,1.58
pcrw,20190724,1.3,1.3,1.3,1.3
pcrw,20190726,0.84,0.84,0.84,0.84
pcrw,20190729,1.25,1.25,1.25,1.25
pcrw,20190730,2.12,2.12,2.12,2.12
pcrw,20190731,1.17,1.17,1.17,1.17
pcrw,20190801,1.22,1.22,1.22,1.22
pcrw,20190802,1.03,1.03,1.03,1.03
pcrw,20190805,1.19,1.19,1.19,1.19
pcrw,20190806,1.15,1.15,1.15,1.15
pcrw,20190807,1.83,1.83,1.83,1.83
pcrw,20190808,0.47,0.47,0.47,0.47
pcrw,20190809,0.93,0.93,0.93,0.93
pcrw,20190813,2.48,2.48,2.48,2.48
pcrw,20190814,1.19,1.19,1.19,1.19
pcrw,20190816,0.77,0.77,0.77,0.77
pcrw,20190819,1.38,1.38,1.38,1.38
pcrw,20190820,0.91,0.91,0.91,0.91
pcrw,20190822,3.6,3.6,3.6,3.6
pcrw,20190823,0.42,0.42,0.42,0.42
pcrw,20190826,0.23,0.23,0.23,0.23
pcrw,20190827,0.58,0.58,0.58,0.58
pcrw,20190828,1.06,1.06,1.06,1.06
pcrw,20190829,2.97,2.97,2.97,2.97
pcrw,20190830,0.77,0.77,0.77,0.77
pcrw,20190903,1.9,1.9,1.9,1.9
pcrw,20190904,1.0,1.0,1.0,1.0
pcrw,20190906,0.85,0.85,0.85,0.85
pcrw,20190909,0.94,0.94,0.94,0.94
pcrw,20190911,1.11,1.11,1.11,1.11
pcrw,20190912,1.22,1.22,1.22,1.22
pcrw,20190913,0.39,0.39,0.39,0.39
pcrw,20190916,1.17,1.17,1.17,1.17
pcrw,20190917,2.24,2.24,2.24,2.24
pcrw,20190918,1.14,1.14,1.14,1.14
pcrw,20190923,0.39,0.39,0.39,0.39
pcrw,20190924,0.62,0.62,0.62,0.62
pcrw,20190925,2.01,2.01,2.01,2.01
pcrw,20190926,0.3,0.3,0.3,0.3
pcrw,20190926,0.3,0.3,0.3,0.3
pcrw,20190927,0.83,0.83,0.83,0.83
pcrw,20190930,0.73,0.73,0.73,0.73
pcrw,20191001,1.06,1.06,1.06,1.06
pcrw,20191003,1.19,1.19,1.19,1.19
pcrw,20191004,1.9,1.9,1.9,1.9
pcrw,20191007,1.72,1.72,1.72,1.72
pcrw,20191009,0.5,0.5,0.5,0.5
pcrw,20191010,0.98,0.98,0.98,0.98
pcrw,20191011,0.79,0.79,0.79,0.79
pcrw,20191015,0.7,0.7,0.7,0.7
